epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,162779,1.36689,0.8368,1.06937,0.84051,0.70843,0.793,0.43553,1.49216,0.88085,1.16865,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,163438,1.36731,0.8329,1.073,0.83506,0.72355,0.79803,0.44108,1.48756,0.84821,1.17096,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,164108,1.36073,0.82988,1.06479,0.85344,0.70897,0.80015,0.44371,1.48992,0.86882,1.16641,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,164779,1.36568,0.84542,1.07071,0.84853,0.71769,0.80093,0.44201,1.4893,0.87355,1.1678,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,165426,1.35606,0.83386,1.07054,0.84021,0.72651,0.80011,0.43442,1.51026,0.85865,1.17313,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,166087,1.36638,0.84166,1.07296,0.84591,0.71416,0.79384,0.43825,1.48474,0.85878,1.16195,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,166753,1.36089,0.8388,1.08176,0.83703,0.72078,0.7922,0.43572,1.50246,0.8583,1.17812,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,167426,1.33145,0.80772,1.05673,0.8467,0.72342,0.80136,0.44103,1.49417,0.8518,1.17145,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,168078,1.32863,0.81797,1.05936,0.82781,0.7295,0.80045,0.4373,1.49815,0.85513,1.16983,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,168748,1.3454,0.82538,1.06622,0.83408,0.7207,0.79601,0.43669,1.50973,0.86576,1.17685,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,169419,1.33695,0.80845,1.06266,0.82292,0.73388,0.79764,0.43523,1.51169,0.86007,1.17785,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,170085,1.31909,0.80194,1.05578,0.84194,0.71663,0.79553,0.43344,1.50189,0.85182,1.17769,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,170729,1.32795,0.81239,1.0518,0.84015,0.72342,0.80075,0.43767,1.50108,0.85321,1.17243,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,171389,1.34015,0.80493,1.05043,0.85469,0.7135,0.79644,0.43622,1.50338,0.85502,1.17623,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,172055,1.34556,0.8098,1.05949,0.85359,0.7071,0.7962,0.44002,1.49949,0.85671,1.17468,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,172704,1.26047,0.71151,1.03804,0.83731,0.71514,0.7862,0.42782,1.51717,0.87694,1.18081,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,173338,1.23913,0.69373,1.02318,0.83127,0.72431,0.79241,0.43132,1.51295,0.87633,1.18274,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,173997,1.22435,0.6743,1.02043,0.83074,0.73225,0.79305,0.43266,1.50831,0.85892,1.17813,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,174650,1.21001,0.66618,1.01035,0.83624,0.73004,0.79567,0.43485,1.49858,0.85787,1.17277,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,175286,1.21181,0.66451,1.00719,0.83718,0.72803,0.79562,0.43473,1.50348,0.86068,1.18034,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,175928,1.2043,0.6599,1.01388,0.8371,0.7296,0.79497,0.43246,1.50213,0.85753,1.17831,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,176598,1.22201,0.66629,1.00477,0.83992,0.72904,0.79821,0.43699,1.49528,0.85732,1.17509,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,177262,1.18702,0.65601,1.00873,0.84216,0.72607,0.79546,0.43453,1.49455,0.85538,1.17419,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,177912,1.19625,0.65392,1.00306,0.83981,0.73078,0.79754,0.43823,1.49279,0.85747,1.17521,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,178555,1.19511,0.65506,1.00637,0.83729,0.73401,0.79801,0.4379,1.49232,0.85526,1.17401,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
